ConstellationShortName,AlphanumericName,ApparentMagnitude,Bayer 編號,ConsID,Declination,Flamsteed,HipparcosNumber,Name,RightAscension,ith,星點,英文星名
Sgr,Pi,2.880000114,π Sgr,72,-21.0235,41 Sgr,94141,π,287.4405,6,建三,
Ser,Sigma,4.820000172,σ Ser,76,1.02892,50 Ser,80179,σ,245.5185,18,列肆一,
Cnc,Psi,5.730000019,ψ Cnc,12,25.5082,14 Cnc,40023,ψ,122.61345,24,爟一,
Ori,Omicron1,4.710000038,ο1 Ori,60,14.2508,4 Ori,22667,ο1,73.13325,31,參旗一,
Tel,Kappa,5.179999828,,79,-52.1071,,92646,κ,283.1655,11,,
Lib,Zeta1,5.639999866,ζ1 Lib,49,-16.7164,32 Lib,75730,ζ1,232.0635,19,氐宿增十六,
Nor,Mu,4.860000134,,57,-44.0453,,81122,μ,248.5215,6,,
Vel,nil,1.75,γ Vel,85,-47.3366,,39953,Regor,122.3832,1,天社一,Regor
Lyr,nil,3.519999981,β Lyr,52,33.3627,10 Lyr,92420,Shelyak,282.5205,3,漸台二,Sheliak
Phe,nil,2.400000095,α Phe,64,-42.3051,,2081,Ankaa,6.570285,1,火鳥六,Ankaa
Cen,Iota,2.75,ι Cen,19,-36.7121,,65109,ι,200.151,10,柱十一,
Sco,Epsilon,2.289999962,ε Sco,73,-34.2926,26 Sco,82396,?,252.543,5,尾宿二,
Aqr,Mu,4.730000019,μ Aqr,4,-8.98324,6 Aqr,103045,μ,313.164,18,女宿二,
Vir,Omicron,4.119999886,o Vir,86,8.73285,78 Vir,58948,ο,181.3035,12,天田一,
Oct,Xi,5.320000172,,58,-80.1238,,112781,ξ,342.5955,11,,
Phe,Mu,4.590000153,μ Phe,64,-46.085,,3245,μ,10.331565,10,火鳥七,
Vir,Kappa,4.179999828,κ Vir,86,-10.274,98 Vir,69427,κ,213.2235,13,亢宿一,
Cen,Zeta,2.549999952,ζ Cen,19,-47.2883,,68002,ζ,208.8855,8,庫樓一,
CMa,Mu,5,μ CMa,14,-14.0434,18 CMa,33345,μ,104.0277,22,天狼增三,
Cyg,Tau,3.74000001,τ Cyg,31,38.0443,65 Cyg,104887,τ,318.6975,8,天津六,
Col,Theta,5,θ Col,24,-37.2529,,29034,θ,91.88175,11,孫二,
Cen,Nu,3.410000086,ν Cen,19,-41.6877,,67464,ν,207.3765,13,衡一,
Eri,Omega,4.360000134,ω Eri,36,-5.45276,61 Eri,22701,ω,73.2237,22,九斿三,
Hya,Lambda,3.609999895,λ Hya,42,-12.3538,41 Hya,49841,λ,152.6475,8,張宿二,
Oct,Epsilon,5.090000153,,58,-80.4396,,110256,?,335.0055,5,,
Cep,nil,3.210000038,γ Cep,20,77.632,35 Cep,116727,Alrai,354.837,2,少衛增八,
Hor,Iota,5.400000095,,41,-50.8008,,12653,ι,40.63815,9,,
Per,Theta,4.099999905,θ Per,63,49.2287,13 Per,12777,θ,41.0487,16,大陵增十三,
Tau,Upsilon,4.28000021,υ Tau,78,22.8137,69 Tau,20711,υ,66.5766,17,天街增三,
Vol,Zeta,3.930000067,ζ Vol,87,-72.6061,,37504,ζ,115.455,3,飛魚六,
Mic,Beta,6.059999943,,54,-33.178,,102989,β,312.9945,11,,
Car,Chi,3.460000038,χ Car,17,-52.9824,,38827,χ,119.1948,8,天社增一,
Aqr,nil,3.269999981,δ Aqr,4,-15.8208,76 Aqr,113136,Skat,343.662,3,羽林軍廿六,Skat
CMi,Epsilon,4.989999771,ε CMi,15,9.27612,2 CMi,36041,?,111.41205,4,南河一,
Peg,Pi2,4.28000021,π2 Peg,62,33.1783,29 Peg,109410,π2,332.4975,13,杵二,
Psc,Psi2,5.559999943,ψ2 Psc,66,20.7393,79 Psc,5310,ψ2,16.98795,26,奎宿增八,
Cet,Kappa1,4.840000153,κ1 Cet,21,3.36997,96 Cet,15457,κ1,49.83975,20,天囷增十一,
Dor,Beta,3.75999999,β Dor,33,-62.4899,,26069,β,83.4063,2,金魚三,
Ret,Theta,5.880000114,,70,-63.2555,,20020,θ,64.4178,11,,
Pav,Kappa,4.400000095,κ Pav,61,-67.2335,,93015,κ,284.238,11,孔雀五,
Pav,Upsilon,5.139999866,,61,-66.7606,,102157,υ,310.488,18,,
Hor,Eta,5.300000191,,41,-52.5431,,12225,η,39.35115,7,,
Dor,Pi2,5.369999886,,33,-69.6908,,30565,π2,96.36945,12,,
Col,Kappa,4.369999886,κ Col,24,-35.1407,,29807,κ,94.13805,7,孫一,
Eri,Tau2,4.760000229,τ2 Eri,36,-21.004,2 Eri,13288,τ2,42.75975,29,天苑九,
CrB,Sigma2,6.71999979,,27,33.8578,,0,σ2,243.672,23,,
Cnc,Pi2,5.360000134,π Cnc,12,14.9415,82 Cnc,45410,π2,138.80775,16,鬼宿增十六,
Nor,Eta,4.650000095,,57,-49.2297,,78639,η,240.804,4,,
CMi,Delta1,5.239999771,δ1 CMi,15,1.91448,7 CMi,36641,δ1,113.02485,7,南河增五,
Cru,Eta,4.139999866,,30,-64.6136,,59072,η,181.7205,8,,
UMa,Rho,4.739999771,ρ UMa,83,67.6296,8 UMa,44390,ρ,135.6363,24,三師一,
Oct,Gamma2,5.71999979,,58,-82.1697,,118114,γ2,359.388,22,,
Her,Mu,3.420000076,μ Her,40,27.7225,86 Her,86974,μ,266.616,6,三 九河,
Her,Pi,3.160000086,π Her,40,36.8092,67 Her,84380,π,258.762,5,女床一,
Men,Gamma,5.179999828,,53,-76.3417,,25918,γ,82.96935,2,,
Mic,Theta1,4.800000191,,54,-40.8095,,105382,θ1,320.19,3,,
Gem,Tau,4.409999847,τ Gem,38,30.2453,46 Gem,34693,τ,107.7849,19,五諸侯二,
Lep,Delta,3.75999999,δ Lep,48,-20.8775,15 Lep,27654,δ,87.8298,8,廁四,
Aql,Upsilon,5.889999866,υ Aql,5,7.61316,49 Aql,97229,υ,296.4165,23,河鼓增九,
Boo,Kappa1,6.619999886,κ1 Boo,9,51.7879,17B Boo,69481,κ1,213.366,27,天槍一,
Cnc,Iota1,4.03000021,ιA Cnc,12,28.76,48A Cnc,43103,ι1,131.67435,3,軒轅增廿二,
Cha,Delta1,5.460000038,,22,-80.4695,,52595,δ1,161.3175,11,,
Lyr,Eta,4.429999828,η Lyr,52,39.146,20 Lyr,94481,η,288.4395,8,輦道二,
Ind,Beta,3.670000076,β Ind,44,-58.4541,,103227,β,313.7025,2,孔雀增四,
Oph,Omega,4.449999809,ω Oph,59,-21.4665,9 Oph,80975,ω,248.034,17,東咸四,
Ind,Alpha,3.109999895,α Ind,44,-47.2917,,101772,α,309.3915,1,波斯二,
Ser,Beta,3.650000095,β Ser,76,15.4219,28 Ser,77233,β,236.547,5,五 周,
Cir,Theta,5.079999924,,23,-62.781,,73129,θ,224.184,6,,
Ser,Tau2,6.21999979,,76,16.0562,,76069,τ2,233.04,31,,
Sgr,Eta,3.099999905,η Sgr,72,-36.7613,,89642,η,274.407,8,箕宿四,
Dra,nil,3.069999933,δ Dra,34,67.6613,57 Dra,94376,Altais,288.138,4,天廚一,Altais
Cam,Gamma,4.590000153,γ Cam,11,71.3324,,17959,γ,57.5895,3,杠一,
Aps,Alpha,3.829999924,α Aps,3,-79.0447,,72370,α,221.9655,1,異雀八,
Eri,Iota,4.110000134,ι Eri,36,-39.8553,,12486,ι,40.1664,17,天園增一,
Cen,Epsilon,2.289999962,ε Cen,19,-53.4664,,66657,?,204.972,6,南門一,
Sgr,nil,2.049999952,σ Sgr,72,-26.2966,34 Sgr,92855,Nunki,283.8165,2,斗宿四,Nunki
Hyi,Gamma,3.25999999,γ Hyi,43,-74.2392,,17678,γ,56.80935,3,附白一,
CrA,Alpha,4.110000134,α CrA,26,-37.9042,,94114,α,287.3685,2,鱉六,
Cha,Eta,5.460000038,,22,-78.9634,,42637,η,130.3317,12,,
Eri,Kappa,4.239999771,κ Eri,36,-47.7038,,11407,κ,36.74625,19,天園四,
Cap,Phi,5.170000076,? Cap,16,-20.6517,28 Cap,104963,?,318.9075,19,楚,
Boo,Chi,5.28000021,χ Boo,9,29.1642,48 Boo,74596,χ,228.621,25,貫索增一,
Cep,Eta,3.410000086,η Cep,20,61.8368,3 Cep,102422,η,311.322,5,天鉤四,
Cnc,Rho2,5.230000019,ρ2 Cnc,12,27.9276,58 Cnc,43834,ρ2,133.91535,11,軒轅增十八,
Cep,Kappa,4.380000114,κ Cep,20,77.7114,1 Cep,99255,κ,302.2215,13,天柱增二,
Ant,Alpha,4.28000021,,2,-31.0678,,51172,α,156.7875,1,,
Men,Beta,5.300000191,,53,-71.3143,,23467,β,75.6792,3,,
Oph,Zeta,2.539999962,ζ Oph,59,-10.5672,13 Oph,81377,ζ,249.2895,3,十一 韓,
Cae,Zeta,6.349999905,,10,-30.0206,,22280,ζ,71.9565,6,,
Dor,Pi1,5.559999943,,33,-69.9841,,30321,π1,95.65935,13,,
Cap,Xi2,5.840000153,ξ2 Cap,16,-12.617,2 Cap,99572,ξ2,303.108,24,牛宿三,
And,Pi,4.340000153,π And,1,33.7194,29 And,2912,π,9.220155,14,奎宿六,
Mic,Iota,5.110000134,,54,-43.9883,,102693,ι,312.1215,5,,
Vol,Gamma2,3.779999971,γ2 Vol,87,-70.4992,,34481,γ2,107.1867,2,飛魚二,
Crt,Iota,5.480000019,ι Crt,29,-13.2022,24 Crt,56802,ι,174.666,10,翼宿八,
Hya,Gamma,2.99000001,γ Hya,42,-23.1714,46 Hya,64962,γ,199.7295,2,平一,
